RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Age_Group,Balance_Group,CreditScore_Group,Value_Score,Risk_Score,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Type
1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1,40-50岁,无余额,一般,0.37049962452705865,0.1826086956521739,8,1,0.0,1,1,1,3,低价值
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,40-50岁,中余额,一般,0.5170210444052046,0.1782608695652174,9,1,83807.86,1,1,2,4,低价值
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,40-50岁,超高余额,较差,0.6026231219445828,0.7826086956521738,2,3,159660.8,4,4,4,12,超高价值
4,15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0,30-40岁,无余额,一般,0.3874511193738531,0.46956521739130436,9,2,0.0,1,3,1,5,中价值
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,40-50岁,高余额,优秀,0.6187290967130622,0.18695652173913047,8,1,125510.82,1,1,3,5,中价值
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,40-50岁,高余额,一般,0.6336483161082632,0.49130434782608695,2,2,113755.78,4,3,3,10,超高价值
7,15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0,40-50岁,无余额,优秀,0.3052124146220839,0.21739130434782608,3,2,0.0,4,3,1,8,高价值
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,<30岁,高余额,很差,0.49514882187029874,0.7260869565217392,6,4,115046.74,2,4,3,9,高价值
9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,40-50岁,高余额,较差,0.5157066630669435,0.19130434782608696,6,2,142051.07,2,3,4,9,高价值
10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,<30岁,高余额,一般,0.5635997096014062,0.1173913043478261,8,1,134603.88,1,1,4,6,中价值
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,30-40岁,高余额,较差,0.4692716252162835,0.43478260869565216,4,2,102016.72,3,3,3,9,高价值
12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,<30岁,无余额,很差,0.29000108826444815,0.4043478260869565,7,2,0.0,2,3,1,6,中价值
13,15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0,30-40岁,无余额,很差,0.20739295117496417,0.4478260869565217,0,2,0.0,4,3,1,8,高价值
14,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0,<30岁,无余额,较差,0.4800621556664648,0.408695652173913,5,2,0.0,3,3,1,7,中价值
15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,30-40岁,无余额,一般,0.3230488418717485,0.15217391304347827,3,2,0.0,3,3,1,7,中价值
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,40-50岁,高余额,一般,0.5420936078809969,0.1956521739130435,7,2,143129.41,2,3,4,9,高价值
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,50-60岁,高余额,一般,0.4495225452977948,0.5521739130434783,9,1,132602.88,1,1,4,6,中价值
18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,<30岁,无余额,较差,0.21537513343442888,0.10434782608695653,1,2,0.0,4,3,1,8,高价值
19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,40-50岁,无余额,较差,0.44521263574804526,0.4956521739130435,4,1,0.0,3,1,1,5,中价值
20,15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,0,<30岁,无余额,良好,0.3383244256689934,0.10434782608695653,4,2,0.0,3,3,1,7,中价值
